"","Sera 1","Sera 2","Distance"
"384","S_126","S_102",0.779342611700012
"385","S_127","S_102",1.32957160158002
"386","S_128","S_102",1.66278032746322
"387","S_129","S_102",2.31799080873385
"388","S_130","S_102",0.640856544110184
"389","S_131","S_102",0.707328112585174
"390","S_132","S_102",2.46628524867001
"391","S_133","S_102",0.828991965063977
"392","S_134","S_102",0.81976852334539
"393","S_135","S_102",1.2468312375307
"394","S_136","S_102",0.283178417778202
"395","S_137","S_102",1.66523750297713
"396","S_138","S_102",0.358228859989256
"397","S_93","S_103",1.49521839414626
"398","S_94","S_103",0.90642299907211
"399","S_95","S_103",2.62238528361958
"400","S_97","S_103",2.45918008054562
"401","S_98","S_103",1.25059972158797
"402","S_99","S_103",1.96944766254528
"403","S_100","S_103",2.17993101578879
"404","S_101","S_103",2.19776631023399
"405","S_102","S_103",1.57128219200456
"406","S_103","S_103",0
"407","S_104","S_103",1.91489838129435
"408","S_105","S_103",1.79428379880171
"409","S_106","S_103",1.27754289042546
"410","S_107","S_103",1.13608745305982
"411","S_108","S_103",1.40422209374334
"412","S_109","S_103",0.493744244094879
"413","S_110","S_103",0.481591423055066
"414","S_111","S_103",1.30896636507936
"415","S_112","S_103",0.107415724623235
"416","S_113","S_103",0.794035352520383
"417","S_114","S_103",2.37939293049837
"418","S_115","S_103",1.33805880286449
"419","S_116","S_103",2.66006989626461
"420","S_117","S_103",1.94469870585538
"421","S_119","S_103",1.37358903217309
"422","S_120","S_103",0.97230529740339
"423","S_121","S_103",2.03081734116755
"424","S_122","S_103",1.36805553614505
"425","S_123","S_103",0.716461817509022
"426","S_124","S_103",1.97774846858258
"427","S_125","S_103",1.13204891094696
"428","S_126","S_103",2.30529140564707
"429","S_127","S_103",0.391417645595375
"430","S_128","S_103",0.549208354109085
"431","S_129","S_103",1.15304222323157
"432","S_130","S_103",1.53095144914116
"433","S_131","S_103",0.88781281365643
"434","S_132","S_103",1.06671504393255
"435","S_133","S_103",1.09414965779778
"436","S_134","S_103",2.05850467132957
"437","S_135","S_103",2.13681131614596
"438","S_136","S_103",1.4458701936875
"439","S_137","S_103",0.272537940315258
"440","S_138","S_103",1.61509448868449
"441","S_93","S_104",2.15296010724498
"442","S_94","S_104",1.58898576272502
"443","S_95","S_104",0.716603998662522
"444","S_97","S_104",0.664846705623451
"445","S_98","S_104",2.81814972458708
"446","S_99","S_104",2.3547852813279
"447","S_100","S_104",0.265237604213206
"448","S_101","S_104",0.299857811730961
"449","S_102","S_104",0.373587681444499
"450","S_103","S_104",1.91489838129435
"451","S_104","S_104",0
"452","S_105","S_104",0.63924032431246
"453","S_106","S_104",0.819090401559599
"454","S_107","S_104",2.79680679613907
"455","S_108","S_104",0.88257621523147
"456","S_109","S_104",1.4757476628394
"457","S_110","S_104",1.63477348927699
"458","S_111","S_104",2.62468619547578
"459","S_112","S_104",1.80864549885524
"460","S_113","S_104",2.39579153841819
"461","S_114","S_104",0.494574506694022
"462","S_115","S_104",0.624569317239967
"463","S_116","S_104",0.877368064056518
"464","S_117","S_104",0.214133365509613
"465","S_119","S_104",0.568689118129198
"466","S_120","S_104",2.50290533414912
"467","S_121","S_104",0.152196134701822
"468","S_122","S_104",2.83020547398573
"469","S_123","S_104",2.26838008443087
"470","S_124","S_104",0.509621284506776
"471","S_125","S_104",2.79680472614958
"472","S_126","S_104",0.406065952517182
"473","S_127","S_104",1.69517557271329
"474","S_128","S_104",2.03448842463284
"475","S_129","S_104",2.69153265472449
"476","S_130","S_104",0.682138342813631
"477","S_131","S_104",1.03111222736211
"478","S_132","S_104",2.83614209767149
"479","S_133","S_104",1.03437480564016
"480","S_134","S_104",0.58022538483487
"481","S_135","S_104",1.08560055628966
"482","S_136","S_104",0.489445589290406
"483","S_137","S_104",1.98375120021539
"484","S_138","S_104",0.617519820174333
"485","S_93","S_105",2.4662348060041
"486","S_94","S_105",1.18800819908417
"487","S_95","S_105",1.03789891600431
"488","S_97","S_105",0.748793862488063
"489","S_98","S_105",2.9005162011562
"490","S_99","S_105",2.75782921473524
"491","S_100","S_105",0.781515518410401
"492","S_101","S_105",0.704410557320885
"493","S_102","S_105",0.742304740310327
"494","S_103","S_105",1.79428379880171
"495","S_104","S_105",0.63924032431246
"496","S_105","S_105",0
"497","S_106","S_105",0.516957135660956
"498","S_107","S_105",2.83982845396936
"499","S_108","S_105",0.42246508601861
"500","S_109","S_105",1.47291244267531
"501","S_110","S_105",1.39189111040801
"502","S_111","S_105",2.78579496136894
"503","S_112","S_105",1.68908113256075
"504","S_113","S_105",2.4415846817024
"505","S_114","S_105",0.794296770012377
"506","S_115","S_105",0.543201636079292
"507","S_116","S_105",0.91438891467561
"508","S_117","S_105",0.454954034179819
"509","S_119","S_105",0.814312439510956
"510","S_120","S_105",2.58224083082188
"511","S_121","S_105",0.777231516636912
"512","S_122","S_105",2.95279882760697
"513","S_123","S_105",2.3213743503885
"514","S_124","S_105",0.237038757697947
"515","S_125","S_105",2.83806008850598
"516","S_126","S_105",0.774464501987836
"517","S_127","S_105",1.70302310900139
"518","S_128","S_105",2.08026486169768
"519","S_129","S_105",2.77908513121152
"520","S_130","S_105",0.26380290720346
"521","S_131","S_105",0.968254601057359
"522","S_132","S_105",2.82788284133322
"523","S_133","S_105",0.713490707480167
"524","S_134","S_105",0.285438927539739
"525","S_135","S_105",0.507120696329302
"526","S_136","S_105",0.539223833790573
"527","S_137","S_105",1.77326855524458
"528","S_138","S_105",1.09942868180952
"529","S_93","S_106",2.06805804215079
"530","S_94","S_106",0.771303550904046
"531","S_95","S_106",1.43832101795795
"532","S_97","S_106",1.21279772291776
"533","S_98","S_106",2.40035207441548
"534","S_99","S_106",2.41299909281601
"535","S_100","S_106",1.0606203660419
"536","S_101","S_106",1.03368375288313
"537","S_102","S_106",0.653483039973428
"538","S_103","S_106",1.27754289042546
"539","S_104","S_106",0.819090401559599
"540","S_105","S_106",0.516957135660956
"541","S_106","S_106",0
"542","S_107","S_106",2.33226528084966
"543","S_108","S_106",0.196429883640373
"544","S_109","S_106",0.972759796872916
"545","S_110","S_106",0.889922482287219
"546","S_111","S_106",2.30921164173593
"547","S_112","S_106",1.17217713807326
"548","S_113","S_106",1.93711276593778
"549","S_114","S_106",1.18504778632849
"550","S_115","S_106",0.24356461841392
"551","S_116","S_106",1.40153401765352
"552","S_117","S_106",0.751926910334824
"553","S_119","S_106",0.583518210137301
"554","S_120","S_106",2.08388267662674
"555","S_121","S_106",0.968731698740863
"556","S_122","S_106",2.46241084327637
"557","S_123","S_106",1.81951564796062
"558","S_124","S_106",0.708943569394277
"559","S_125","S_106",2.33020867092901
"560","S_126","S_106",1.13190279945944
"561","S_127","S_106",1.19987738376958
"562","S_128","S_106",1.57963580731025
"563","S_129","S_106",2.28101155511724
"564","S_130","S_106",0.253409092800346
"565","S_131","S_106",0.477996968459136
"566","S_132","S_106",2.31364272059813
"567","S_133","S_106",0.223419408034024
"568","S_134","S_106",0.784566111673567
"569","S_135","S_106",0.921099553605296
"570","S_136","S_106",0.373974173316117
"571","S_137","S_106",1.26764607262975
"572","S_138","S_106",0.962944168139465
"573","S_93","S_107",1.23596662804914
"574","S_94","S_107",2.03903364846176
"575","S_95","S_107",3.50905513500489
"576","S_97","S_107",3.42012512797685
"577","S_98","S_107",0.180346525992013
"578","S_99","S_107",1.64416152170189
"579","S_100","S_107",3.04709727356277
"580","S_101","S_107",3.09628995382426
"581","S_102","S_107",2.42381049373993
"582","S_103","S_107",1.13608745305982
"583","S_104","S_107",2.79680679613907
"584","S_105","S_107",2.83982845396936
"585","S_106","S_107",2.33226528084966
"586","S_107","S_107",0
"587","S_108","S_107",2.48782995930089
"588","S_109","S_107",1.36867066360961
"589","S_110","S_107",1.61766621021156
"590","S_111","S_107",0.529064527318884
"591","S_112","S_107",1.21962219724519
"592","S_113","S_107",0.402803652191681
"593","S_114","S_107",3.28997601588699
"594","S_115","S_107",2.32416727080444
"595","S_116","S_107",3.63192024404191
"596","S_117","S_107",2.88601373300493
"597","S_119","S_107",2.22895595314376
"598","S_120","S_107",0.316953529178558
"599","S_121","S_107",2.87671297328469
"600","S_122","S_107",0.36582757329551
"601","S_123","S_107",0.529098828711305
"602","S_124","S_107",2.98871959792867
"603","S_125","S_107",0.00785357077576206
"604","S_126","S_107",3.20286968045076
"605","S_127","S_107",1.13774000415266
"606","S_128","S_107",0.767775006304302
"607","S_129","S_107",0.211616736632803
"608","S_130","S_107",2.57895247198384
"609","S_131","S_107",1.87343099678189
"610","S_132","S_107",0.227140198700715
"611","S_133","S_107",2.18270755377781
"612","S_134","S_107",3.07748628355193
"613","S_135","S_107",3.23489615711698
"614","S_136","S_107",2.39671718658542
"615","S_137","S_107",1.32177966559747
"616","S_138","S_107",2.3159448106812
"617","S_93","S_108",2.26308459290013
"618","S_94","S_108",0.770204900173105
"619","S_95","S_108",1.42891018435007
"620","S_97","S_108",1.16471741576129
"621","S_98","S_108",2.56366928578735
"622","S_99","S_108",2.60937323280885
"623","S_100","S_108",1.09774347833546
"624","S_101","S_108",1.0501384421531
"625","S_102","S_108",0.79178381421254
"626","S_103","S_108",1.40422209374334
"627","S_104","S_108",0.88257621523147
"628","S_105","S_108",0.42246508601861
"629","S_106","S_108",0.196429883640373
"630","S_107","S_108",2.48782995930089
"631","S_108","S_108",0
"632","S_109","S_108",1.14241990603046
"633","S_110","S_108",0.979025138012243
"634","S_111","S_108",2.4872491851838
"635","S_112","S_108",1.30197294317054
"636","S_113","S_108",2.09737215785494
"637","S_114","S_108",1.17744246818372
"638","S_115","S_108",0.405405768974614
"639","S_116","S_108",1.33641247825927
"640","S_117","S_108",0.769084252456072
"641","S_119","S_108",0.755041044660455
"642","S_120","S_108",2.24948186942615
"643","S_121","S_108",1.03474807527921
"644","S_122","S_108",2.63289468697131
"645","S_123","S_108",1.98280770810196
"646","S_124","S_108",0.648564829242132
"647","S_125","S_108",2.48539770211794
"648","S_126","S_108",1.13867993842813
"649","S_127","S_108",1.3649113388358
"650","S_128","S_108",1.74498206882766
"651","S_129","S_108",2.44636493740374
"652","S_130","S_108",0.207096775762678
"653","S_131","S_108",0.66173393132923
"654","S_132","S_108",2.45722920239971
"655","S_133","S_108",0.310115306801153
"656","S_134","S_108",0.707476373844995
"657","S_135","S_108",0.748627167184432
"658","S_136","S_108",0.509767424117887
"659","S_137","S_108",1.36113831355442
"660","S_138","S_108",1.12422937098338
"661","S_93","S_109",1.26632158676482
"662","S_94","S_109",0.947073738115781
"663","S_95","S_109",2.19168040100787
"664","S_97","S_109",2.06661069754994
"665","S_98","S_109",1.42856152775933
"666","S_99","S_109",1.70267688772267
"667","S_100","S_109",1.73749681479283
"668","S_101","S_109",1.76908854036993
"669","S_102","S_109",1.11511514200266
"670","S_103","S_109",0.493744244094879
"671","S_104","S_109",1.4757476628394
"672","S_105","S_109",1.47291244267531
"673","S_106","S_109",0.972759796872916
"674","S_107","S_109",1.36867066360961
"675","S_108","S_109",1.14241990603046
"676","S_109","S_109",0
"677","S_110","S_109",0.572874295492476
"678","S_111","S_109",1.34913620490945
"679","S_112","S_109",0.406412318423681
"680","S_113","S_109",0.968893747141307
"681","S_114","S_109",1.95800744076308
"682","S_115","S_109",0.956995826255031
"683","S_116","S_109",2.27552280354156
"684","S_117","S_109",1.53650904875046
"685","S_119","S_109",0.914584987911217
"686","S_120","S_109",1.11134744282276
"687","S_121","S_109",1.57875839505699
"688","S_122","S_109",1.49079668354306
"689","S_123","S_109",0.848567916716236
"690","S_124","S_109",1.6209595852945
"691","S_125","S_109",1.36719373376867
"692","S_126","S_109",1.87709718921607
"693","S_127","S_109",0.231017375796446
"694","S_128","S_109",0.607727898215474
"695","S_129","S_109",1.30846840903251
"696","S_130","S_109",1.21405890013601
"697","S_131","S_109",0.505038710986725
"698","S_132","S_109",1.37475842787889
"699","S_133","S_109",0.853296350352116
"700","S_134","S_109",1.70917283884815
"701","S_135","S_109",1.88975777520822
"702","S_136","S_109",1.03855502803014
"703","S_137","S_109",0.685419253100694
"704","S_138","S_109",1.12516397183379
"705","S_93","S_110",1.8179051741847
"706","S_94","S_110",0.432914839312143
"707","S_95","S_110",2.30992472646954
"708","S_97","S_110",2.10212945405678
"709","S_98","S_110",1.72944968524851
"710","S_99","S_110",2.26766993688503
"711","S_100","S_110",1.89632397121095
"712","S_101","S_110",1.89200034298026
"713","S_102","S_110",1.33928518112967
"714","S_103","S_110",0.481591423055066
"715","S_104","S_110",1.63477348927699
"716","S_105","S_110",1.39189111040801
"717","S_106","S_110",0.889922482287219
"718","S_107","S_110",1.61766621021156
"719","S_108","S_110",0.979025138012243
"720","S_109","S_110",0.572874295492476
"721","S_110","S_110",0
"722","S_111","S_110",1.75945725348805
"723","S_112","S_110",0.405416085245225
"724","S_113","S_110",1.26749380732629
"725","S_114","S_110",2.0587415390364
"726","S_115","S_110",1.01559245012112
"727","S_116","S_110",2.29120809965139
"728","S_117","S_110",1.61939035048908
"729","S_119","S_110",1.16198128459532
"730","S_120","S_110",1.44239128701225
"731","S_121","S_110",1.76926793284505
"732","S_122","S_110",1.83974290560845
"733","S_123","S_110",1.17863556747728
"734","S_124","S_110",1.59781568637628
"735","S_125","S_110",1.6136390888002
"736","S_126","S_110",1.99597966890852
"737","S_127","S_110",0.667286916190591
"738","S_128","S_110",0.977716534491711
